symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type
sh603115,2026-02-11,69.11,24.41,1.19,4.65,-13.48,-2.42,437880794.96,1.8759478565042644,-0.11797090051121062,4.954476480746727,0.0,0.03937,0.03886,0.04883,0.02933,0.65,0.65,0.0,55.94,95.71,53.41,54.73,9,趋势中继原型,2026-02-11,2026-02-23,回踩均线承接,2026-02-23,0.87,1.734,0.02341,0.04954,0.04069,0.1142,0.0,4.95448,-4.58,-8.3,0.0,0.0,1.375,回踩均线承接
sh603876,2026-02-11,69.03,20.59,19.82,10.65,-19.62,6.66,1066174888.9500002,1.7832296697217471,7.287234042553203,10.275764203928635,0.0,0.01752,-0.00036,0.03202,0.02244,0.45,0.5,0.0,68.45,69.26,59.9,92.77,10,趋势中继原型,2026-02-11,2026-02-13,回踩均线承接,2026-02-13,1.12,1.25,0.01745,0.02948,0.0161,0.20291,0.0,2.94786,-1.58,-11.41,0.0,0.0,1.562,回踩均线承接
sh603968,2026-02-11,68.19,25.55,20.87,16.8,-18.25,10.04,368255712.59,4.636714841389923,10.035087719298241,11.03225177805517,0.0,0.02198,0.03613,0.03054,0.05949,0.35,0.4,0.0,74.99,70.38,62.73,53.77,11,趋势中继原型,2026-02-11,2026-02-23,回踩均线承接,2026-02-23,-3.03,2.484,0.19382,0.11032,0.09864,0.15005,0.0,11.03225,-5.83,-13.27,0.0,0.0,4.635,回踩均线承接
sz002806,2026-02-11,64.7,28.39,22.71,16.5,-20.43,0.5,569111750.26,2.4561818050119193,0.4968944099378758,-2.436289527261671,0.0,0.0321,0.03177,0.04331,0.03754,0.5,0.4,0.0,78.64,82.86,21.03,68.47,15,趋势中继原型,2026-02-11,2026-02-26,回踩均线承接,2026-02-26,2.06,0.723,0.03648,0.01017,-0.05378,-0.23326,0.0,1.01735,-3.05,-8.98,0.0,0.0,1.352,回踩均线承接
sz002850,2026-02-11,63.28,13.43,14.34,10.75,-19.4,-2.42,983104590.6600001,0.7749833967822636,0.2944935266989024,3.7874798067012065,0.0,0.02075,0.02641,0.02327,0.03269,0.7,0.75,0.0,53.57,87.71,42.53,58.76,18,趋势中继原型,2026-02-11,2026-02-23,回踩均线承接,2026-02-23,2.01,0.79,-0.00899,0.03787,-0.04722,-0.02395,0.0,3.78748,-3.7,-5.82,0.0,0.0,0.691,回踩均线承接
sz002470,2026-02-12,68.12,26.82,15.23,14.07,-17.62,-3.08,557817592.62,2.1465761473904466,-3.083700440528625,6.392852235532274,0.0,0.02264,0.02408,0.03834,0.0435,0.45,0.55,0.0,70.33,87.14,39.02,67.65,10,趋势中继原型,2026-02-12,2026-02-24,回踩均线承接,2026-02-24,2.64,2.246,0.13569,0.15838,0.23002,0.27354,0.0,15.83764,2.64,-12.45,0.0,0.0,1.812,回踩均线承接
sh600583,2026-02-12,66.8,16.21,4.52,10.48,-11.58,0.98,1250628743.44,1.9259561506711804,0.9762900976290068,6.075954375635661,0.0,-0.001,0.00551,0.024,0.03003,0.45,0.6,0.0,49.16,77.45,60.76,97.53,12,趋势中继原型,2026-02-12,2026-02-24,回踩均线承接,2026-02-24,4.18,2.025,0.04514,0.04555,0.05582,0.10228,0.0,4.55496,0.67,-13.7,0.0,0.0,1.66,回踩均线承接
sh601898,2026-02-12,64.7,10.15,6.99,1.54,-14.33,0.82,815667543.5500001,1.1606358455944519,1.5818431911966968,7.962041274481454,0.0,0.02308,0.04039,0.02367,0.03816,0.6,0.8,0.0,43.58,90.09,56.98,58.53,17,趋势中继原型,2026-02-12,2026-02-24,回踩均线承接,2026-02-24,3.09,0.934,0.01224,0.05862,-0.04464,0.08613,0.0,5.8618,-0.46,-8.68,0.0,0.0,0.995,回踩均线承接
sz000818,2026-02-12,64.09,13.41,10.67,15.0,-16.47,1.12,1960924713.52,2.7459008455334737,2.314814814814792,9.32319551737524,0.0,0.03202,0.01437,0.04906,0.01723,0.55,0.35,0.0,51.05,71.59,54.86,100.0,18,趋势中继原型,2026-02-12,2026-02-26,回踩均线承接,2026-02-26,1.28,1.006,0.0381,0.08202,-0.1384,-0.25307,0.0,8.20194,-8.2,-10.24,0.0,0.0,1.43,回踩均线承接
sh603121,2026-02-12,63.83,23.39,3.88,13.67,-16.17,-2.54,255776030.26999998,0.998525799363644,-0.03892565200467324,3.0503930457298694,0.0,0.03022,0.06077,0.01112,0.045,0.65,0.7,0.0,56.81,95.82,48.14,12.16,20,趋势中继原型,2026-02-12,2026-02-23,回踩均线承接,2026-02-23,0.04,1.375,0.04643,0.0991,0.11907,0.21951,0.0,9.90952,-2.87,-7.18,0.0,0.0,1.23,回踩均线承接
