date,open,close,high,low,volume,amount,amplitude_pct,change_pct,change,turnover_pct
2024-11-22,17680,17325,17760,17185,216797,37838904320,3.25,-2.20,-390,0.00
2024-11-25,17355,17460,17560,17220,219084,38099896064,1.95,0.06,10,0.00
2024-11-26,17480,17470,17560,17365,161850,28269298432,1.12,0.46,80,0.00
2024-11-27,17480,17695,17730,17325,164784,28815589632,2.32,1.32,230,0.00
2024-11-28,17950,18125,18230,17925,342287,61963648256,1.72,2.29,405,0.00
2024-11-29,18060,18260,18400,18005,453451,82795520000,2.18,0.88,160,0.00
2024-12-02,18270,18210,18365,18155,353721,64618324992,1.15,-0.25,-45,0.00
2024-12-03,18195,18765,18860,18165,589041,108945162240,3.81,2.74,500,0.00
2024-12-04,18700,18685,18835,18585,458641,85781528576,1.35,1.03,190,0.00
2024-12-05,18635,18640,18955,18535,670728,125796524032,2.25,-0.32,-60,0.00
2024-12-06,18690,19030,19180,18660,726054,137234526208,2.77,1.47,275,0.00
2024-12-09,18970,18740,19040,18545,631170,118668800000,2.62,-0.85,-160,0.00
2024-12-10,18900,18530,18930,18405,640377,119776751616,2.79,-1.44,-270,0.00
2024-12-11,18530,18830,18855,18450,492822,91968794624,2.17,0.70,130,0.00
2024-12-12,18830,18750,18890,18615,483138,90580094976,1.47,0.48,90,0.00
2024-12-13,18650,18525,18700,18350,552561,102188007424,1.87,-1.17,-220,0.00
2024-12-16,18510,18480,18615,18320,430059,79417171968,1.60,-0.05,-10,0.00
2024-12-17,18460,18320,18585,18270,413472,76177416192,1.71,-0.79,-145,0.00
2024-12-18,18285,17825,18325,17770,572958,103072051200,3.01,-3.23,-595,0.00
2024-12-19,17850,17595,17900,17510,464977,82335186944,2.17,-2.17,-390,0.00
2024-12-20,17650,17660,17780,17595,373352,66084337920,1.04,-0.25,-45,0.00
2024-12-23,17600,17495,17610,17330,522934,91410489344,1.58,-1.16,-205,0.00
2024-12-24,17500,17625,17635,17420,327870,57456632064,1.23,0.83,145,0.00
2024-12-25,17660,17705,17785,17540,409615,72429395968,1.40,1.06,185,0.00
2024-12-26,17730,17505,17730,17500,356019,62738640128,1.30,-0.99,-175,0.00
2024-12-27,17535,17645,17745,17450,412738,72653627392,1.67,0.14,25,0.00
2024-12-30,17705,17885,17930,17535,507619,90042671104,2.24,1.62,285,0.00
2024-12-31,17910,17820,17915,17745,323837,57690971904,0.96,0.48,85,0.00
2025-01-02,17780,17575,17845,17550,359299,63613063168,1.66,-1.32,-235,0.00
2025-01-03,17590,16840,17645,16680,842308,143938060288,5.45,-4.86,-860,0.00
2025-01-06,16925,16750,16925,16640,487020,81825718272,1.67,-1.96,-335,0.00
2025-01-07,16825,16630,16900,16370,587087,97610416128,3.15,-1.01,-170,0.00
2025-01-08,16700,16795,16830,16640,381339,63823175936,1.14,1.02,170,0.00
2025-01-09,16805,16910,16975,16680,465499,78340898816,1.76,1.05,175,0.00
2025-01-10,16920,16980,17125,16900,479301,81475313664,1.34,0.92,155,0.00
2025-01-13,17000,17020,17235,16865,526245,89766129664,2.18,0.15,25,0.00
2025-01-14,16945,17360,17365,16880,514286,88058454016,2.84,1.79,305,0.00
2025-01-15,17380,17425,17465,17260,380520,66010727168,1.20,1.78,305,0.00
2025-01-16,17410,17560,17680,17370,496721,87246942208,1.79,1.24,215,0.00
2025-01-17,17530,17475,17650,17380,504244,88338407424,1.54,-0.48,-85,0.00
2025-01-20,17445,17415,17505,17220,511258,88887607296,1.63,-0.57,-100,0.00
2025-01-21,17440,17390,17765,17370,545512,96099782656,2.27,0.03,5,0.00
2025-01-22,17370,17435,17505,17320,415116,72272420864,1.05,-1.02,-180,0.00
2025-01-23,17445,17310,17635,17220,542117,94356385792,2.38,-0.57,-100,0.00
2025-01-24,17320,17430,17490,17040,463667,79978012672,2.59,0.14,25,0.00
2025-01-27,17430,17450,17475,17185,278009,48161190656,1.68,1.19,205,0.00
2025-02-05,17350,17065,17405,16825,308713,52757246976,3.35,-1.47,-255,0.00
2025-02-06,17060,17290,17335,17015,305993,52581461504,1.87,1.20,205,0.00
2025-02-07,17295,17500,17595,17270,410581,71828021248,1.89,1.86,320,0.00
2025-02-10,17450,17520,17525,17200,432425,74928582656,1.86,0.17,30,0.00
2025-02-11,17530,17385,17665,17340,442270,77340196864,1.88,0.35,60,0.00
2025-02-12,17325,17825,17830,17270,540678,94831828992,3.20,1.94,340,0.00
2025-02-13,17800,17605,17875,17580,539432,95740178432,1.68,0.40,70,0.00
2025-02-14,17600,17935,18010,17600,502362,89608376320,2.31,1.07,190,0.00
2025-02-17,17955,17805,18075,17765,526559,94227787776,1.74,-0.17,-30,0.00
2025-02-18,17800,17870,17940,17650,505555,90097725440,1.62,-0.14,-25,0.00
2025-02-19,17850,17780,17880,17650,501433,89095696384,1.29,-0.22,-40,0.00
2025-02-20,17825,17950,18005,17765,364901,65269837056,1.35,1.04,185,0.00
2025-02-21,17970,17845,18230,17835,470521,84992421888,2.21,-0.22,-40,0.00
2025-02-24,17825,17895,17950,17775,274007,48962562048,0.97,-0.91,-165,0.00
2025-02-25,17945,17650,18050,17620,454145,81270886400,2.41,-1.20,-215,0.00
2025-02-26,17625,17600,17760,17485,368407,64919265024,1.54,-1.65,-295,0.00
2025-02-27,17660,17685,17720,17435,320769,56371669760,1.62,0.37,65,0.00
2025-02-28,17750,17710,17775,17555,319311,56419037184,1.25,0.80,140,0.00
2025-03-03,17785,17755,17865,17670,315869,56095706112,1.10,0.51,90,0.00
2025-03-04,17765,17665,17880,17640,381834,67860241920,1.35,-0.51,-90,0.00
2025-03-05,17610,17375,17615,17275,408323,70991134720,1.91,-2.22,-395,0.00
2025-03-06,17415,17565,17575,17225,388794,67652730624,2.01,1.04,180,0.00
2025-03-07,17580,17380,17600,17340,345075,60319017728,1.49,-0.11,-20,0.00
2025-03-10,17320,17100,17325,17055,350976,60336343808,1.55,-2.15,-375,0.00
2025-03-11,17080,17145,17175,16925,289622,49447200512,1.45,-0.26,-45,0.00
2025-03-12,17220,17245,17345,17070,336416,57840283136,1.61,1.03,175,0.00
2025-03-13,17285,17075,17295,17025,274957,47133401088,1.57,-0.67,-115,0.00
2025-03-14,17055,17180,17210,17020,276175,47287712512,1.11,0.23,40,0.00
2025-03-17,17165,16920,17180,16855,385520,65481213440,1.90,-1.17,-200,0.00
2025-03-18,16900,16965,16995,16840,214650,36308833024,0.91,-0.12,-20,0.00
2025-03-19,16990,16865,17020,16805,224794,37988342528,1.27,-0.30,-50,0.00
2025-03-20,16870,17045,17060,16635,372555,62695051264,2.52,0.89,150,0.00
2025-03-21,17000,16940,17045,16905,222720,37793632256,0.83,0.68,115,0.00
2025-03-24,16925,17095,17105,16885,214515,36512698624,1.30,0.77,130,0.00
2025-03-25,17100,17095,17200,17045,209587,35916125184,0.91,0.44,75,0.00
2025-03-26,17105,16905,17150,16895,197804,33709644288,1.49,-1.34,-230,0.00
2025-03-27,16910,16975,17025,16835,183890,31117635328,1.12,-0.38,-65,0.00
2025-03-28,16975,16670,17065,16620,285469,48128886272,2.63,-1.48,-250,0.00
2025-03-31,16700,16560,16785,16535,229762,38292380160,1.48,-1.75,-295,0.00
2025-04-01,16560,16585,16615,16375,182909,30182150144,1.44,-0.48,-80,0.00
2025-04-02,16605,16725,16740,16590,129470,21564144128,0.91,1.36,225,0.00
2025-04-03,16875,16295,16930,16280,384552,63749849344,3.86,-3.18,-535,0.00
2025-04-07,15580,15580,15580,15580,11284,1758047200,0.00,-6.00,-995,0.00
2025-04-08,14500,14930,15210,14455,773315,115524390912,4.85,-4.17,-650,0.00
2025-04-09,15015,14330,15030,14035,832928,120849670144,6.66,-4.05,-605,0.00
2025-04-10,14330,14975,15350,14140,685922,101054607360,8.34,3.24,470,0.00
2025-04-11,14880,14995,15010,14630,493938,73232535552,2.58,1.80,265,0.00
2025-04-14,15060,15080,15195,14925,404205,60911814144,1.82,1.72,255,0.00
2025-04-15,15085,14710,15140,14700,403450,60238281216,2.92,-2.36,-355,0.00
2025-04-16,14855,14635,14905,14530,484278,71376449536,2.51,-1.98,-295,0.00
2025-04-17,14730,14640,14790,14510,477337,69966544896,1.90,-0.64,-95,0.00
2025-04-18,14610,14590,14705,14520,417112,61008870400,1.26,-0.44,-65,0.00
2025-04-21,14590,14795,14825,14470,575426,84383911936,2.43,1.16,170,0.00
2025-04-22,14795,14535,14800,14505,462665,67625380608,2.01,-0.85,-125,0.00
2025-04-23,14480,14695,14740,14420,648901,94543716352,2.19,0.55,80,0.00
2025-04-24,14670,14735,14750,14475,571781,83497443328,1.89,1.17,170,0.00
2025-04-25,14750,14720,14975,14625,619207,91457060864,2.40,0.82,120,0.00
2025-04-28,14680,14730,14820,14645,436210,64345882624,1.18,-0.27,-40,0.00
2025-04-29,14690,14635,14800,14615,424084,62344469248,1.25,-0.78,-115,0.00
2025-04-30,14650,14555,14765,14520,483801,70845046784,1.67,-0.99,-145,0.00
2025-05-06,14600,14815,14880,14600,343297,50859438848,1.91,1.20,175,0.00
2025-05-07,14850,14810,15060,14760,531057,78990618624,2.03,0.00,0,0.00
2025-05-08,14775,14710,14815,14620,446181,65578109952,1.31,-1.08,-160,0.00
2025-05-09,14730,14620,14780,14620,365529,53753994752,1.09,-0.51,-75,0.00
2025-05-12,14660,15025,15035,14555,701114,103422103552,3.26,2.18,320,0.00
2025-05-13,15175,14995,15200,14875,553168,82972553216,2.20,1.66,245,0.00
2025-05-14,15030,15235,15310,14970,618349,93722505216,2.27,1.60,240,0.00
2025-05-15,15200,15090,15245,15050,400017,60571543808,1.29,-0.43,-65,0.00
2025-05-16,15085,14905,15135,14895,410174,61640385536,1.59,-1.55,-235,0.00
2025-05-19,14870,15005,15115,14830,499453,74696933376,1.90,-0.13,-20,0.00
2025-05-20,14975,14940,15035,14905,383323,57341214464,0.87,-0.10,-15,0.00
2025-05-21,14950,14820,14950,14775,447464,66479486720,1.17,-0.90,-135,0.00
2025-05-22,14855,14810,14960,14800,402400,59901329920,1.08,-0.30,-45,0.00
2025-05-23,14785,14535,14850,14530,394070,58065709824,2.15,-2.35,-350,0.00
