discovery_date,symbol,base_setup_score,relative_rank_score,amount,amount_avg20,amount_med20,amount_ratio20,amount_ratio20_median,amount_percentile60,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,setup_score,strategy_mode,rank,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,order_filter_available,launch_hist_order_days,launch_order_days,launch_cancel_buy_to_add_buy,launch_hist_cancel_buy_to_add_buy_avg,launch_cancel_buy_to_add_buy_vs_hist,orderbook_filter_reason,liquidity_mode
2026-03-04,sh603598,83.59,83.59,261354119.9,1287589493.2584999,1146946935.5349998,0.20297938222421474,0.22786940860353744,0.05405405405405406,-15.28,0.1711,0.14752,-15.38,0.13162,83.59,current_abs_250m,17,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-04,sz002339,83.01,83.01,349123485.5799999,746792995.504,641343359.605,0.46749700075103334,0.5443628289767017,0.10810810810810811,-14.78,0.15989,0.12048,-13.59,0.09914,83.01,current_abs_250m,18,2026-03-04,2026-03-06,2026-03-18,pullback_absorption_confirm,13.43,0.0,0.05114,0.03003,1.93406,0.18697,0.15857,0.91541,-14.89,33.78,True,2.0,3.0,0.02266,0.00018,129.0629,launch_cancel_buy_to_add_buy_vs_hist_gt_2,current_abs_250m
2026-03-04,sz000997,82.96,82.96,261997393.54000002,350843032.937,311962941.70500004,0.7467652737657363,0.8398349884383104,0.13513513513513514,-18.38,0.15836,0.14876,-11.55,0.07329,82.96,current_abs_250m,19,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-04,sh600986,82.07,82.07,1072719093.6100001,4756338336.799002,5098109988.61,0.22553464822099603,0.21041505499226726,0.13513513513513514,-12.69,0.09953,0.0755,-9.14,0.07109,82.07,current_abs_250m,20,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-05,sh601615,97.17,97.17,1057150053.02,2649292662.7075,2491132843.4500003,0.3990310575727875,0.42436518622424807,0.1,-16.79,0.14875,0.12141,-13.81,0.12665,97.17,current_abs_250m,1,2026-03-06,2026-03-10,2026-03-12,pullback_absorption_confirm,4.79,0.0,0.02402,0.0714,0.88421,0.07436,0.1011,-0.09577,-3.82,50.4,True,4.0,3.0,0.43364,0.38598,1.1235,,current_abs_250m
2026-03-05,sh600602,91.75,91.75,1262558740.45,1459097722.8225,1414733329.225,0.8653010149366062,0.8924358494767618,0.5789473684210527,-11.37,0.10771,0.09775,-7.81,0.12678,91.75,current_abs_250m,2,2026-03-05,2026-03-09,2026-03-18,pullback_absorption_confirm,12.42,0.0,0.17624,0.14632,2.0526,0.08382,0.10191,-0.01404,-10.06,52.0,True,3.0,3.0,0.70508,0.35008,2.014,launch_cancel_buy_to_add_buy_vs_hist_gt_2,current_abs_250m
2026-03-05,sh600460,90.43,90.43,1177476821.69,1954017790.6065,1714182724.73,0.602592682293096,0.6869027465408997,0.10526315789473684,-15.26,0.12735,0.10989,-12.66,0.06846,90.43,current_abs_250m,3,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-05,sz002517,89.9,89.9,1002003941.34,1585135138.387,1293921423.04,0.6321252472894002,0.774393192274261,0.13157894736842105,-16.57,0.17703,0.1676,-6.93,0.07253,89.9,current_abs_250m,4,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-05,sz002943,89.6,89.6,665711856.73,954136951.8645003,856733602.2149999,0.6977110103839052,0.7770348390781777,0.18421052631578946,-22.37,0.2219,0.20596,-12.72,0.08713,89.6,current_abs_250m,5,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-05,sh600481,88.97,88.97,807052080.1699998,1799378686.8309999,1807825710.54,0.4485170831890593,0.44642139751897447,0.2631578947368421,-18.14,0.17735,0.15081,-12.87,0.17484,88.97,current_abs_250m,6,2026-03-06,2026-03-10,2026-03-23,pullback_absorption_confirm,4.05,0.0,-0.00185,0.01005,0.86298,0.04471,0.08925,-0.07614,-16.27,52.0,True,4.0,3.0,0.4009,0.35978,1.1143,,current_abs_250m
2026-03-05,sz002400,88.65,88.65,927941731.22,2987974557.516,2679362725.77,0.3105587793195361,0.34632926788713403,0.02631578947368421,-24.56,0.22377,0.19796,-10.05,0.05759,88.65,current_abs_250m,7,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-05,sz002131,88.34,88.34,5593137109.989999,9424182794.498999,9041351903.155,0.5934877571830182,0.6186173450497221,0.2,-13.06,0.12173,0.09186,-10.92,0.08708,88.34,current_abs_250m,8,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
