run_date,date,ticker,name,close,indexed_return_pct,drawdown_from_high_pct
2026-05-07,2026-02-20,005930.KS,Samsung Electronics,190100.0,14.24,-0.42
2026-05-07,2026-02-23,005930.KS,Samsung Electronics,193000.0,15.99,-2.33
2026-05-07,2026-02-24,005930.KS,Samsung Electronics,200000.0,20.19,0.0
2026-05-07,2026-02-25,005930.KS,Samsung Electronics,203500.0,22.3,-1.21
2026-05-07,2026-02-26,005930.KS,Samsung Electronics,218000.0,31.01,-0.46
2026-05-07,2026-02-27,005930.KS,Samsung Electronics,216500.0,30.11,-2.91
2026-05-07,2026-03-03,005930.KS,Samsung Electronics,195100.0,17.25,-12.51
2026-05-07,2026-03-04,005930.KS,Samsung Electronics,172200.0,3.49,-22.78
2026-05-07,2026-03-05,005930.KS,Samsung Electronics,191600.0,15.14,-14.08
2026-05-07,2026-03-06,005930.KS,Samsung Electronics,188200.0,13.1,-15.61
2026-05-07,2026-03-09,005930.KS,Samsung Electronics,173500.0,4.27,-22.2
2026-05-07,2026-03-10,005930.KS,Samsung Electronics,187900.0,12.92,-15.74
2026-05-07,2026-03-11,005930.KS,Samsung Electronics,190000.0,14.18,-14.8
2026-05-07,2026-03-12,005930.KS,Samsung Electronics,187900.0,12.92,-15.74
2026-05-07,2026-03-13,005930.KS,Samsung Electronics,183500.0,10.28,-17.71
2026-05-07,2026-03-16,005930.KS,Samsung Electronics,188700.0,13.4,-15.38
2026-05-07,2026-03-17,005930.KS,Samsung Electronics,193900.0,16.53,-13.05
2026-05-07,2026-03-18,005930.KS,Samsung Electronics,208500.0,25.3,-6.5
2026-05-07,2026-03-19,005930.KS,Samsung Electronics,200500.0,20.49,-10.09
2026-05-07,2026-03-20,005930.KS,Samsung Electronics,199400.0,19.83,-10.58
2026-05-07,2026-03-23,005930.KS,Samsung Electronics,186300.0,11.96,-16.46
2026-05-07,2026-03-24,005930.KS,Samsung Electronics,189700.0,14.0,-14.93
2026-05-07,2026-03-25,005930.KS,Samsung Electronics,189000.0,13.58,-15.25
2026-05-07,2026-03-26,005930.KS,Samsung Electronics,180100.0,8.23,-19.24
2026-05-07,2026-03-27,005930.KS,Samsung Electronics,180100.0,8.23,-19.24
2026-05-07,2026-03-30,005930.KS,Samsung Electronics,176300.0,5.95,-20.94
2026-05-07,2026-03-31,005930.KS,Samsung Electronics,167200.0,0.48,-25.02
2026-05-07,2026-04-01,005930.KS,Samsung Electronics,189650.0,13.97,-14.96
2026-05-07,2026-04-02,005930.KS,Samsung Electronics,178400.0,7.21,-20.0
2026-05-07,2026-04-03,005930.KS,Samsung Electronics,186200.0,11.9,-16.5
2026-05-07,2026-04-06,005930.KS,Samsung Electronics,193100.0,16.05,-13.41
2026-05-07,2026-04-07,005930.KS,Samsung Electronics,196500.0,18.09,-11.88
2026-05-07,2026-04-08,005930.KS,Samsung Electronics,210500.0,26.5,-5.61
2026-05-07,2026-04-09,005930.KS,Samsung Electronics,204000.0,22.6,-8.52
2026-05-07,2026-04-10,005930.KS,Samsung Electronics,206000.0,23.8,-7.62
2026-05-07,2026-04-13,005930.KS,Samsung Electronics,201000.0,20.79,-9.87
2026-05-07,2026-04-14,005930.KS,Samsung Electronics,206500.0,24.1,-7.4
2026-05-07,2026-04-15,005930.KS,Samsung Electronics,211000.0,26.8,-5.38
2026-05-07,2026-04-16,005930.KS,Samsung Electronics,217500.0,30.71,-2.47
2026-05-07,2026-04-17,005930.KS,Samsung Electronics,216000.0,29.81,-3.14
2026-05-07,2026-04-20,005930.KS,Samsung Electronics,214500.0,28.91,-3.81
2026-05-07,2026-04-21,005930.KS,Samsung Electronics,219000.0,31.61,-1.79
2026-05-07,2026-04-22,005930.KS,Samsung Electronics,217500.0,30.71,-2.47
2026-05-07,2026-04-23,005930.KS,Samsung Electronics,224500.0,34.92,-2.18
2026-05-07,2026-04-24,005930.KS,Samsung Electronics,219500.0,31.91,-4.36
2026-05-07,2026-04-27,005930.KS,Samsung Electronics,224500.0,34.92,-2.18
2026-05-07,2026-04-28,005930.KS,Samsung Electronics,222000.0,33.41,-3.27
2026-05-07,2026-04-29,005930.KS,Samsung Electronics,226000.0,35.82,-1.53
2026-05-07,2026-04-30,005930.KS,Samsung Electronics,220500.0,32.51,-4.13
2026-05-07,2026-05-04,005930.KS,Samsung Electronics,232500.0,39.72,0.0
2026-05-07,2026-05-06,005930.KS,Samsung Electronics,266000.0,59.86,-1.48
2026-05-07,2026-05-07,005930.KS,Samsung Electronics,272250.0,63.61,-1.71
