symbol,trade_date,probe_index,oib_ratio,same_day_pullback_ratio,day_gap_pct,probe_strength_score,hot_theme_best_rank,hot_theme_score,hot_theme_is_top10,confirm_d1_pos,confirm_d3_pos,confirm_d5_pos,trend20_probability,trend20_probability_sample_split,target_trend20,target_trend40,high_20d_pct,high_40d_pct
sz000421,2024-11-05,2.0,0.8401986732904695,0.5806451612903224,0.8976660682226134,78.33405487390748,377.0,50.0,0.0,0,0,0,0.17647058823529413,train,1,1,41.63822525597269,48.122866894197934
sz000421,2024-11-29,3.0,0.39835499036692873,0.9130434782608695,-4.392764857881137,77.49275488298495,280.0,53.0,0.0,0,0,0,0.1388888888888889,train,0,0,16.353887399463794,16.353887399463794
sz000421,2025-05-16,4.0,0.6128458299633284,0.7812499999999993,-0.16286644951140072,79.68842540952649,194.0,55.8,0.0,0,0,0,0.09259259259259259,train,0,0,10.662358642972514,14.701130856219692
sz000430,2024-09-27,1.0,0.7194482395898169,0.5769230769230771,0.0,78.60385556927687,85.0,79.7,0.0,0,0,0,0.2,train,0,0,18.571428571428573,18.571428571428573
sz000501,2025-02-17,1.0,0.5991888435198711,0.5762711864406779,0.0,78.20611508184842,117.0,67.4,0.0,0,0,1,0.2,train,0,0,2.8604118993134975,28.718535469107543
sz000504,2024-09-26,1.0,0.6063451640143773,0.3888888888888901,-1.216216216216226,75.34609324809011,309.0,56.3,0.0,0,1,0,0.4444444444444444,train,1,1,44.44444444444444,50.66137566137567
sz000504,2025-01-15,2.0,0.3541093061519222,0.3636363636363603,-0.9216589861751112,68.63466427480995,381.0,37.4,0.0,0,0,0,0.08955223880597014,train,0,0,10.135135135135108,25.450450450450447
sz000504,2025-03-03,3.0,0.7181739583282908,0.7605633802816899,-0.10604453870625141,79.72380381594449,47.0,75.0,0.0,0,0,0,0.17647058823529413,train,0,0,14.373716632443534,14.373716632443534
sz000505,2024-10-14,1.0,0.3943467626789791,0.3870967741935464,0.6230529595015577,71.62540464226946,119.0,70.3,0.0,1,0,0,0.4,train,0,0,4.606240713224352,13.67013372956909
sz000516,2024-09-11,1.0,0.5545799051200144,1.1666666666666692,-1.9867549668874163,79.93856097172444,58.0,65.6,0.0,0,0,0,0.5,train,1,1,38.7243735763098,49.43052391799545
sz000518,2024-09-02,1.0,8.118991747524754,0.4444444444444444,0.0,82.22630549072574,20.0,75.9,0.0,0,0,0,0.4444444444444444,train,1,1,23.943661971831,43.1924882629108
sz000518,2024-12-05,2.0,1.7430731401829365,0.387755102040817,-1.6172506738544534,82.32339422774369,399.0,41.5,0.0,0,0,0,0.0,train,0,0,0.7894736842105399,0.7894736842105399
sz000518,2024-12-25,3.0,1.2206971780033398,0.5000000000000007,-1.2820512820512886,83.34352667467536,107.0,56.1,0.0,0,0,0,0.09259259259259259,train,0,0,7.395498392282951,7.395498392282951
sz000518,2025-04-03,4.0,0.6374805704976617,0.5882352941176463,-0.3906250000000111,78.93203285153425,22.0,82.0,0.0,0,0,0,0.0,train,0,0,-9.615384615384615,-9.615384615384615
sz000520,2024-11-06,1.0,0.7020376147237508,1.702702702702702,-2.5751072961373467,82.5757263820093,548.0,29.4,0.0,0,0,0,0.288135593220339,train,0,0,4.9284578696343395,4.9284578696343395
sz000520,2025-06-24,2.0,0.38546780766439875,0.6285714285714284,-9.790209790209781,74.31188072388015,609.0,24.5,0.0,0,0,0,0.2,train,0,0,-0.5671077504725952,-0.5671077504725952
sz000520,2025-09-23,3.0,0.6425290353955546,0.6923076923076917,-0.44150110375277274,80.66416916710611,4.0,83.7,1.0,0,0,0,0.0,train,0,0,3.1914893617021267,13.617021276595743
sz000523,2024-12-20,1.0,0.3082629276582628,0.9444444444444455,0.29761904761904656,77.49005046750553,116.0,65.7,0.0,0,0,1,0.288135593220339,train,0,0,-0.28901734104045396,-0.28901734104045396
sz000526,2025-01-27,1.0,0.5400851995991517,0.7892976588628755,0.679117147707986,86.33110419181156,278.0,45.5,0.0,1,0,0,0.5208333333333335,train,1,0,28.310393925011866,28.310393925011866
sz000531,2025-07-10,1.0,0.6717305647396477,0.8108108108108125,0.4484304932735439,81.08486521497579,22.0,84.2,0.0,0,1,0,0.2,train,0,0,5.873715124816448,5.873715124816448
sz000531,2025-07-14,2.0,0.3672966181656763,0.6595744680851059,0.14858841010401136,77.14556970516814,3.0,93.5,1.0,1,0,0,0.2,train,0,0,-0.28985507246377384,-0.28985507246377384
sz000532,2025-02-07,1.0,0.3155984281557694,0.5235294117647044,0.05652911249292014,76.57258057622722,48.0,82.8,0.0,0,0,0,0.17647058823529413,train,0,0,8.58995137763372,8.58995137763372
sz000534,2025-04-11,1.0,0.6437738190884215,0.6666666666666674,-0.9200283085633476,80.29642488920425,151.0,58.5,0.0,0,0,0,0.24444444444444444,train,0,0,13.935574229691872,13.935574229691872
