symbol,trade_date,event_time,business_anchor_time,event_kind,event_role,sequence_label,probe_index,days_since_prev_probe,bar_high_ret_pct,bar_close_ret_pct,amount_vs_day_median,same_day_pullback_ratio,same_day_later_high_pct,oib_ratio,cvd_ratio,day_gap_pct,day_high_vs_prev_close_pct,day_return_pct,touch_limit_up,broken_limit_up,touch_limit_up_count_5m,limit_state_label,probe_strength_score
sz002283,2026-03-05,09:30,09:30,non_probe,non_probe,,,,2.020202020202011,1.8181818181818077,11.90833834132253,0.30000000000000354,3.6633663366336666,-0.043692989238230076,0.15049619588279575,1.9567456230690006,7.826982492276002,1.414141414141401,0,0,0,normal,41.77253634229708
sz002283,2026-03-06,09:30,09:30,non_probe,non_probe,,,,2.9145728643216184,2.2110552763819236,5.864868508027554,0.10344827586206642,4.00390625,-0.0015053755143952974,0.11709047720074682,-0.8964143426294813,6.075697211155395,2.6130653266331905,0,0,0,normal,40.58580076596796
sz002283,2026-03-13,10:45,10:45,non_probe,non_probe,,,,4.17112299465241,2.99465240641712,10.970331892299988,1.435897435897435,0.0,0.07464398399649352,0.005345479207037223,-0.6629834254143652,7.624309392265194,2.1134593993325845,0,0,0,normal,66.44051393979328
sz002283,2026-04-01,09:30,09:30,non_probe,non_probe,,,,2.9157667386608965,2.3758099352051865,12.953046359580311,-0.4444444444444488,2.728226652675758,0.09730927797727135,0.0538533831978006,2.3204419889502725,8.176795580110486,4.211663066954641,0,0,0,normal,45.1838734917432
sz002283,2026-04-02,09:40,09:40,non_probe,non_probe,,,,3.083247687564228,2.9804727646454143,10.041891440392359,1.5666666666666684,0.7976071784645988,0.47870068630440404,0.2549239887984506,-1.036269430051806,4.766839378238341,0.10471204188482464,0,0,0,normal,67.66976897417946
sz002283,2026-04-08,09:30,09:30,non_probe,non_probe,,,,3.563941299790363,0.41928721174004924,11.637228907015805,-0.4117647058823474,2.0242914979756943,0.2163457517258659,0.05296387308788802,3.80848748639826,9.684439608269857,5.031446540880502,0,0,0,normal,51.4596631388214
sz002283,2026-04-10,09:30,09:30,non_probe,non_probe,,,,5.206286836935181,4.61689587426326,12.961938719124644,0.2641509433962269,1.5873015873015817,0.11266964932360891,0.07512663791088314,1.2935323383084452,8.258706467661693,3.8310412573673958,0,0,0,normal,64.86348474241238
sz002283,2026-04-16,11:00,11:00,non_probe,non_probe,,,,2.0019065776930356,1.4299332697807365,3.9751223021101603,-2.1428571428571574,5.140186915887868,0.7073758732783748,0.39870873859935735,-0.19230769230769162,8.173076923076916,7.418111753371859,0,0,0,normal,31.37791870856154
sz002283,2026-04-22,10:35,10:35,non_probe,non_probe,,,,1.8709073900841977,1.122544434050532,3.0636727416011063,-1.3499999999999908,2.846648301193744,0.2961402738728093,0.3886206835474777,-0.556070435588496,3.7998146431881485,4.007455731593668,0,0,0,normal,28.36614092163242
sz002283,2026-04-23,09:30,09:30,non_probe,non_probe,,,,4.103479036574487,2.676181980374648,17.292899918353026,1.0652173913043503,0.08568980291345785,0.4046605487715495,0.3379922133509568,0.44802867383513245,4.659498207885293,-0.2676181980374781,0,0,0,normal,77.88514598690442
sz002283,2026-04-29,09:30,09:30,non_probe,non_probe,,,,3.5348837209302486,3.1627906976744224,6.96071805086207,-0.5789473684210484,3.5938903863432126,0.149237359666455,0.09359857851357857,-0.2782931354359919,6.957328385899819,5.581395348837215,0,0,0,normal,43.457768809455175
sz002283,2026-05-06,09:30,11:20,launch_day,launch_without_probe,直接启动,,,5.932932072227004,3.7833190025795327,22.355440497566878,-0.04347826086956432,0.24350649350648457,0.20312702794984253,0.08037910020991162,3.5618878005342802,9.973285841495994,6.190885640584676,1,0,27,sealed_up,69.35706049499649
sz002283,2026-05-12,13:05,13:05,non_probe,non_probe,,,,3.3027522935779707,2.5688073394495303,7.82245339887334,-0.9444444444444455,6.305506216696277,0.22294086028472612,0.22320826997043317,-0.8174386920980936,8.71934604904634,6.227106227106227,0,0,0,normal,44.2719186261994
sz002283,2026-05-13,09:30,09:30,launch_day,launch_without_probe,直接启动,,,9.059233449477343,9.059233449477343,241.84593383166583,0.0,0.0,2.175426233555357,-0.24054444808205305,-1.0344827586206806,7.931034482758625,9.059233449477343,0,0,0,normal,77.85178931762961
sz002283,2026-05-14,09:30,09:30,non_probe,non_probe,,,,4.800000000000004,2.959999999999985,12.10479572783169,0.7666666666666656,1.0687022900763399,0.18717437784324545,0.051804778691017885,-0.15974440894568342,5.7507987220447365,1.1200000000000099,0,0,0,normal,68.38631964749
sz002283,2026-05-22,13:00,13:00,non_probe,non_probe,,,,2.928509905254084,2.7562446167097354,4.821935330438245,-0.3529411764705913,2.092050209205021,0.8481700264104027,0.0232796772009748,-0.6097560975609762,6.271777003484313,5.784399649430316,0,0,0,normal,42.313861549231966
sz002284,2026-03-17,09:35,09:35,non_probe,non_probe,,,,1.894186806009146,1.436969301110369,10.185136678537242,1.0689655172413841,2.3076923076923217,0.16164248157871738,0.13267610621907472,0.5976095617529875,5.976095617529875,0.9240924092409175,0,0,0,normal,49.033994975909074
sz002284,2026-04-27,09:30,09:30,non_probe,non_probe,,,,4.671532846715332,4.160583941605833,8.661288150758361,0.5156249999999997,1.2552301255230214,0.2956199986152544,0.20503543348838804,-0.868306801736618,5.065123010130246,2.262773722627731,0,0,0,normal,66.57980891982045
sz002284,2026-05-08,13:00,13:00,non_probe,non_probe,,,,1.6628873771730834,1.058201058201047,5.059939380572848,0.13636363636363416,0.4460966542751077,0.6146207404310953,0.5218519009879425,-0.1537279016141424,3.8431975403535823,3.3102386451116184,0,0,0,normal,44.40308034427377
sz002284,2026-05-13,09:50,09:50,non_probe,non_probe,,,,1.44706778370145,1.3709063214013772,1.2890952748168838,-1.4736842105263164,3.9039039039038936,0.9830587537607035,0.5891136232854006,-0.6019563581640242,4.138449962377733,2.9523088569265665,0,0,0,normal,27.820491702013754
sz002284,2026-05-21,09:30,09:30,non_probe,non_probe,,,,2.5000000000000133,1.4516129032257963,2.391023927924122,-1.2258064516128981,6.215578284815093,-0.3896150255164251,0.16839264951387448,0.08071025020177647,8.9588377723971,5.56451612903226,0,0,0,normal,18.89737676563851
sz002285,2026-03-06,09:30,09:30,non_probe,non_probe,,,,4.0590405904058935,4.0590405904058935,6.122581168207749,-0.5454545454545465,2.4822695035461084,0.27808094216913887,0.6207280727345792,-1.0948905109489093,5.474452554744524,6.27306273062731,0,0,0,normal,53.97417946711691
sz002285,2026-03-13,09:55,09:55,non_probe,non_probe,,,,2.6666666666666616,2.6666666666666616,10.846708508746369,1.1249999999999973,0.0,0.9078560996954571,0.5141494433507551,0.34602076124565784,6.57439446366781,3.1034482758620863,0,0,0,normal,69.36498785158342
sz002285,2026-03-16,09:30,09:30,non_probe,non_probe,,,,3.3557046979865834,2.684563758389258,8.281928782036744,-0.2,2.2727272727272707,-0.1451183490937867,0.17431062896193084,-0.33444816053512794,5.351170568561869,4.026845637583887,0,0,0,normal,43.88903759831981
