symbol,trade_date,probe_index,sequence_label,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,big_rise_20d,big_rise_40d,monster_60d,fail_20d,deep_fail_20d,days_to_up_15,days_to_up_20,days_to_up_30,days_to_down_8,days_to_down_15
sz000595,2024-09-13,1,首次试盘,first_probe,0.9726749982656628,14.006839712810107,0.7368421052631587,0.4089979550102374,7.802874743326482,6.776180698151957,1.2219959266802416,1,1,1,0,0,2.0,3.0,4.0,,
sz000599,2024-10-15,1,首次试盘,first_probe,0.4912327403424357,15.835290562053132,0.8461538461538459,-0.4705882352941115,6.018518518518512,3.47222222222221,3.0732860520094496,1,1,1,0,0,7.0,8.0,9.0,,
sz000608,2024-10-09,1,首次试盘,first_probe,0.5037046331663358,104.99866212307153,1.0666666666666682,-10.144927536231874,6.024096385542155,5.6224899598393385,0.0,0,1,1,0,1,22.0,22.0,23.0,1.0,2.0
sz000608,2025-11-19,4,重新试盘,retest_probe,0.495727843132327,15.480192207597966,0.5714285714285733,0.0,5.1470588235293935,4.044117647058809,1.831501831501825,0,1,1,1,1,34.0,35.0,47.0,2.0,17.0
sz000620,2024-11-11,1,首次试盘,first_probe,0.2972297975409579,16.16569273357021,0.92857142857143,0.0,6.249999999999978,4.910714285714279,0.4464285714285587,0,1,1,0,0,22.0,23.0,24.0,2.0,12.0
sz000620,2025-09-02,2,重新试盘,retest_probe,0.7708973936124224,59.23969986634301,0.7777777777777797,-0.6172839506172867,5.555555555555536,4.320987654320985,1.8633540372670732,1,1,1,0,0,9.0,12.0,30.0,,
sz000628,2024-10-17,1,首次试盘,first_probe,0.635445469977706,17.84741433344176,0.6958637469586374,-9.849292129700103,6.940222897669712,3.4110097939885176,2.110773387369136,1,1,1,0,0,4.0,5.0,10.0,22.0,55.0
sz000632,2025-10-27,2,重新试盘,retest_probe,0.3327186624842966,19.334925419822977,0.9696969696969704,0.2336448598130758,7.551487414187652,2.7459954233409745,2.0979020979021046,1,1,1,0,0,10.0,10.0,11.0,3.0,
sz000632,2025-10-31,3,连续试盘,continuous_probe,0.2625615628074625,23.704387298126026,0.7916666666666676,1.7241379310344973,5.811138014527861,2.90556900726393,1.2106537530266248,1,1,1,0,0,2.0,6.0,7.0,,
sz000638,2024-10-15,1,首次试盘,first_probe,0.3139695731217821,13.785213661418426,0.8965517241379302,-0.6928406466512715,6.575963718820854,6.349206349206349,3.2558139534883956,1,1,1,0,0,9.0,10.0,13.0,58.0,
sz000670,2024-09-23,1,首次试盘,first_probe,1.0249590240216535,17.495630061320107,0.4090909090909089,0.9111617312072884,4.9438202247190866,3.820224719101129,3.3860045146727025,1,1,1,0,0,4.0,5.0,6.0,,
sz000670,2025-04-16,2,重新试盘,retest_probe,0.5987265173242636,16.587440862238804,0.6578947368421054,-7.868383404864088,5.900621118012417,4.347826086956519,2.0186335403726607,0,0,1,0,0,21.0,50.0,53.0,,
sz000678,2024-09-20,1,首次试盘,first_probe,0.3494822413174825,13.705778743619993,1.1333333333333302,-0.5882352941176339,5.976095617529897,4.980079681274896,-1.7751479289940808,1,1,1,0,0,6.0,7.0,27.0,,
sz000678,2025-04-15,2,重新试盘,retest_probe,0.4394968482060905,14.148602508140824,0.5762711864406779,-1.0118043844856597,5.0643776824034425,3.776824034334769,1.362862010221466,1,1,1,0,0,13.0,14.0,15.0,3.0,
sz000679,2025-01-17,1,首次试盘,first_probe,1.1142216291907647,17.144546015734065,0.8730158730158729,-1.8045112781954864,9.707241910631748,8.78274268104775,0.6125574272588086,0,1,1,0,0,21.0,22.0,23.0,3.0,
