symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name
sh600066,2026-04-01,67.05,22.01,14.83,10.95,-16.51,3.85,3322955159.36,4.3478738273469455,3.84829894032348,-2.4261343136970623,-0.15049182520907511,0.02491,0.02572,0.02766,0.01099,0.6,0.7,1.0,65.83,85.46,29.58,100.0,9,趋势中继原型
sh600502,2026-04-01,66.94,20.04,15.37,17.78,-21.31,-1.42,1676472127.85,6.7716024238795285,-1.4209591474245165,-6.525371460860228,0.22823659403196184,0.04679,0.00826,0.06561,0.04001,0.6,0.3,1.0,63.77,91.43,23.22,100.0,10,趋势中继原型
sz002294,2026-04-02,79.64,37.26,14.65,17.42,-18.92,2.55,1301704676.3800004,2.158973774815668,3.4065102195306673,3.083231177413687,0.07583187580189943,0.01339,0.03902,-0.00353,0.01297,0.65,0.7,1.0,85.27,81.09,62.72,100.0,1,趋势中继原型
sz002990,2026-04-02,65.42,18.29,7.02,5.43,-12.3,-2.5,539800132.89,2.907940537977175,1.5655577299412915,-1.6653482598960139,-0.02959442368876819,0.03612,0.04921,0.02183,0.04956,0.65,0.45,1.0,53.12,95.71,37.4,66.33,2,趋势中继原型
sz002645,2026-04-02,65.11,19.44,13.84,11.29,-19.97,-2.28,1038176632.3700001,1.906449078809948,-2.2788931090613085,-1.6292058213049785,0.049353717703154,0.04688,0.05671,0.07959,0.09949,0.6,0.6,1.0,61.11,91.43,20.35,96.88,3,趋势中继原型
sh600250,2026-04-02,62.78,24.54,18.26,9.06,-21.49,-2.21,719705033.3,2.3351662407372533,1.0294117647058787,-0.4270283376938515,0.01324276507599087,0.02526,0.02745,0.02968,0.03138,0.5,0.55,1.0,71.75,79.32,22.16,79.49,4,趋势中继原型
sh603588,2026-04-02,62.77,15.19,6.87,7.4,-21.59,-5.9,1249184853.6899998,0.9877975462975347,2.5182239893969616,5.405278263704929,-0.10506910761229193,0.02046,0.03196,0.03373,0.05178,0.75,0.6,1.0,42.64,98.89,34.96,66.26,5,趋势中继原型
sh600186,2026-04-02,62.42,27.43,3.23,4.41,-19.87,-6.84,1433776105.23,1.0451206007680358,-3.542234332425065,-9.54863396178849,0.10018927295971103,0.0354,0.02549,0.04695,0.03969,0.65,0.5,1.0,53.36,95.71,24.39,68.17,6,趋势中继原型
sz000951,2026-04-02,61.57,21.39,12.69,5.06,-12.84,-2.04,427396872.38,0.9163122444355314,-1.6324822101297598,1.7117986215620142,0.1479343198931622,0.00653,0.0246,0.00875,0.03782,0.6,0.65,1.0,63.04,72.75,60.01,21.98,7,趋势中继原型
sh603165,2026-04-02,59.2,14.42,11.06,1.07,-17.49,-5.57,304522491.75,0.9968345931291812,1.846965699208436,10.975295886334145,-0.09378145307390084,0.03727,0.04783,0.0437,0.0419,0.55,0.65,1.0,46.01,95.71,41.3,15.67,8,趋势中继原型
sh601133,2026-04-02,58.96,16.14,15.72,3.12,-21.57,-3.76,622151898.5100001,1.5485402362348513,0.3713527851458842,2.8232011478331387,-0.018394227289842413,0.05026,0.03729,0.07403,0.06399,0.45,0.35,1.0,55.77,78.57,36.0,57.3,9,趋势中继原型
sz002422,2026-04-02,58.79,19.52,8.09,12.71,-13.31,-0.27,841781737.71,1.389402911060457,0.44211108040896896,3.3072773930373742,-0.043287163664452066,0.00753,0.01724,0.00658,0.03134,0.6,0.45,1.0,56.61,64.19,50.12,68.07,10,趋势中继原型
sz002869,2026-04-03,71.6,12.11,5.73,-0.61,-16.09,0.58,564488036.88,2.5526497357779276,6.5708418891170295,12.91106407193768,0.3546254087091576,0.03612,0.06592,0.01922,0.06193,0.55,0.6,1.0,44.97,91.43,77.18,68.13,1,趋势中继原型
sz000950,2026-04-03,71.57,12.09,18.43,16.1,-20.18,10.02,1021576729.51,5.8774572974838115,10.015408320493059,13.567314635923616,2.2816216904705673,0.08925,0.0419,0.15882,0.10045,0.45,0.4,1.0,56.29,78.57,68.74,100.0,2,趋势中继原型
