discovery_date,symbol,base_setup_score,relative_rank_score,amount,amount_avg20,amount_med20,amount_ratio20,amount_ratio20_median,amount_percentile60,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence
2026-03-02,sz002950,50.1,50.1,79898082.0,121310380.651,68113805.53,0.6586252682683457,1.1730086342747321,0.42857142857142855,-14.4,0.14191,0.14065,-0.09,-0.00442
2026-03-02,sz003010,65.25,66.27,300870902.68999994,270415477.123,263399486.78499997,1.1126245653208195,1.142260777962662,0.6571428571428571,-18.22,0.17468,0.13447,-11.57,0.09629
2026-03-03,sh600029,56.11,58.71,850617770.98,749444393.7385,727047148.6200001,1.1349978438517774,1.1699623230687968,0.8055555555555556,-7.53,0.04468,0.03192,-6.17,0.03117
2026-03-03,sh600053,57.38,57.38,110311827.42999999,275504626.0215,229030236.69000003,0.4003991839374465,0.4816474410726418,0.05555555555555555,-23.17,0.21221,0.1781,-5.53,0.02637
2026-03-03,sh600060,50.21,52.55,386684544.22,338866005.0655001,314920893.605,1.1411134148592361,1.2278783404730584,0.7777777777777778,-7.92,0.07318,0.0716,-1.87,0.02619
2026-03-03,sh600187,56.52,57.19,101718078.26,106096961.604,91980079.53999999,0.9587275330245187,1.1058707360191529,0.6666666666666666,-21.13,0.19635,0.17868,-3.69,0.03905
2026-03-03,sh600280,51.4,51.4,107090043.96000001,127495923.558,119218500.66,0.8399487683328399,0.8982669918439151,0.16666666666666666,-7.43,0.08294,0.04844,-5.68,0.04033
2026-03-03,sh600327,52.55,52.55,66930349.16,83518721.485,71299518.36000001,0.8013813905427266,0.9387209156457474,0.2222222222222222,-17.53,0.168,0.112,-3.27,0.03195
2026-03-03,sh600370,74.59,74.59,159932038.0,224766150.611,199247757.77,0.7115485920154961,0.8026792360926652,0.3055555555555556,-12.78,0.15686,0.12809,-9.73,0.10217
2026-03-03,sh600415,55.13,55.13,1025097097.3299999,1050362452.3205,1013017730.5100001,0.97594606039593,1.0119241415586264,0.3888888888888889,-13.96,0.10335,0.07185,-3.99,-0.02084
2026-03-03,sh600476,55.35,55.46,71493976.0,96762558.5645,77101931.21000001,0.7388599171067137,0.9272656972141747,0.6111111111111112,-24.23,0.2631,0.22236,-6.06,0.02776
2026-03-03,sh600538,71.85,71.85,82353513.0,132816079.8915,117826095.255,0.6200567963402938,0.6989412050171908,0.2777777777777778,-12.26,0.10345,0.09897,-5.69,0.04527
2026-03-03,sh600556,60.36,60.36,616495517.5,1411639294.8460002,1398086779.6499999,0.43672312024103527,0.4409565460981863,0.05555555555555555,-11.29,0.10108,0.09596,-9.38,0.02966
2026-03-03,sh600570,51.15,52.27,1200151690.75,938381425.3534998,815152245.0600002,1.2789593424634211,1.472303729791803,0.4722222222222222,-11.33,0.08045,0.05864,-3.53,-0.04336
2026-03-03,sh600626,51.03,51.74,80467795.87,68367881.1255,69943020.13,1.1769824447577761,1.1504764266747143,0.4166666666666667,-8.45,0.06666,0.05223,-5.86,0.03127
2026-03-03,sh600633,63.11,63.11,580889786.11,974180939.3224999,935099596.425,0.5962853127818158,0.6212063274658792,0.19444444444444445,-10.93,0.10685,0.09324,-3.57,0.02053
2026-03-03,sh600718,64.23,64.98,354128955.08,298280698.69,251398744.435,1.1872338928910802,1.4086345414169767,0.5833333333333334,-10.65,0.09975,0.11505,-2.92,0.02018
2026-03-03,sh600745,63.22,63.22,1160723732.7499998,3071937334.2565002,1209548088.1150002,0.3778474644668913,0.9596342172380348,0.25,-17.38,0.10249,0.14684,-3.59,-0.00707
2026-03-03,sh600818,50.74,53.87,61088923.97,45642970.097,37810604.79,1.3384081675704802,1.6156558274930466,0.7777777777777778,-8.28,0.07568,0.02075,-6.43,0.05881
2026-03-03,sh600838,52.19,52.19,145900615.95000005,266121796.825,227988227.005,0.5482475230916293,0.6399480265566534,0.1388888888888889,-19.07,0.17463,0.14583,-3.23,0.01874
2026-03-03,sh600868,51.47,51.8,723917919.56,685935603.906,425415929.41499996,1.0553730050426207,1.7016709283911335,0.6111111111111112,-20.9,0.17397,0.15173,0.25,-0.00193
2026-03-03,sh600877,53.99,53.99,801480243.51,1108942693.5724998,753922903.675,0.7227427063232653,1.0630798449061325,0.3333333333333333,-22.72,0.19292,0.1642,-0.78,-0.0215
2026-03-03,sh600909,56.55,56.57,603322211.3299999,600441456.135,454799994.10499996,1.0047977286803997,1.3265660051673407,0.5,-16.09,0.10972,0.10378,-1.41,-0.03202
2026-03-03,sh600977,73.94,73.94,734923328.7900001,1707365721.0754998,1801919975.6699996,0.4304428276368691,0.40785569765202084,0.2222222222222222,-16.82,0.14539,0.12489,-14.43,0.07916
2026-03-03,sh600986,59.38,59.38,1785650564.7000003,5005404495.523001,5545147336.219999,0.3567445081206015,0.3220204002581539,0.2222222222222222,-11.82,0.08427,0.06077,-6.09,0.0323
2026-03-03,sh601021,55.68,63.03,514819432.28,270107116.41699994,247657662.10000002,1.9059824824652358,2.078754309132275,0.9722222222222222,-7.69,0.06543,0.05566,-4.99,0.04241
2026-03-03,sh601086,53.14,58.65,163212921.91,87544912.748,88959934.0,1.8643335950292403,1.8346789905442151,0.8055555555555556,-10.6,0.09114,0.06168,-6.08,0.02955
2026-03-03,sh601089,52.07,52.07,81381514.0,113026941.87650001,92667064.8,0.7200187198634668,0.878214003817244,0.25,-17.11,0.16766,0.12753,-5.84,0.02302
2026-03-03,sh601336,55.69,59.26,2333668091.1600003,1469873629.787,1295946449.865,1.5876657992008287,1.8007442293646476,0.7222222222222222,-7.59,0.0661,0.07153,-0.64,-0.02566
2026-03-03,sh601366,55.07,55.07,80425116.55000001,110672277.96849999,104718551.77000001,0.7266961340841918,0.7680121161973553,0.1388888888888889,-9.59,0.12619,0.09596,-5.71,0.04802
2026-03-03,sh601579,53.61,53.61,211770177.57,296589001.127,206794665.555,0.7140189850780057,1.0240601564921734,0.5833333333333334,-11.96,0.12112,0.10065,-5.44,0.04439
2026-03-03,sh601601,83.49,85.93,2118469781.3699996,1624653545.8414998,1402983779.755,1.3039517174553819,1.5099745356571002,0.7222222222222222,-9.48,0.09552,0.09795,-5.95,0.05908
2026-03-03,sh601615,59.01,59.01,2586506365.6100006,3064216412.7055006,2777417431.8000007,0.8441004215254778,0.9312630993079518,0.5714285714285714,-13.17,0.12149,0.10422,-1.75,-0.00296
2026-03-03,sh601628,73.7,77.52,1298198882.9800003,900393573.1035,818555444.145,1.4418126936483282,1.585963287234622,0.8055555555555556,-10.05,0.08518,0.09371,-6.08,0.03109
2026-03-03,sh601689,52.54,52.54,1867559592.6399999,2015105743.6414998,1902445456.1600003,0.9267799461804574,0.9816626209140229,0.25,-11.49,0.07175,0.06678,-5.24,-0.03404
2026-03-03,sh601888,68.99,68.99,3519317990.69,4162316276.9174995,4095237738.4599996,0.8455191188153326,0.859368421432214,0.16666666666666666,-13.99,0.12085,0.10919,-8.31,-0.01885
2026-03-03,sh601933,54.08,54.65,1000488042.2799999,874794624.7264999,797294952.095,1.1436833446396601,1.254853100036671,0.3888888888888889,-6.12,0.06084,0.02737,-4.17,0.05024
2026-03-03,sh603023,52.83,52.83,101081991.0,135315944.7885,103104160.65,0.7470072441055784,0.980387118839321,0.2777777777777778,-16.26,0.15317,0.11747,-3.23,0.04191
