source_id,business_source_name,metric,metric_label,window,horizon,threshold_low,threshold_high,low_day_n,high_day_n,low_candidate_n,high_candidate_n,low_avg_mfe,high_avg_mfe,mfe_lift_high_minus_low,low_avg_close,high_avg_close,close_lift_high_minus_low,low_pitfall_rate,high_pitfall_rate,pitfall_reduction_low_minus_high,supports_good_market_hypothesis,confidence
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_3d,全市场中位涨跌幅,3,22,-2.0026,0.1671,4,3,6,3,4.6603,14.6858,10.0255,-13.7438,-8.5544,5.1894,87.5,100.0,-12.5,0,low_sample
stable_capital_callback,资金流回调稳健策略,all_med_ret_3d,全市场中位涨跌幅,3,5,-2.0026,0.1671,8,13,24,35,6.3345,10.4269,4.0924,-3.6236,5.7234,9.347,54.1667,18.9103,35.2564,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_med_ret_3d,全市场中位涨跌幅,3,10,-2.0026,0.1671,8,13,24,35,7.0886,17.5175,10.4289,-6.1403,6.3983,12.5386,62.5,25.641,36.859,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_med_ret_3d,全市场中位涨跌幅,3,22,-2.0026,0.1671,8,13,24,35,7.336,25.2734,17.9374,-6.3803,8.4381,14.8184,62.5,39.1026,23.3974,1,low_sample
trend_continuation_callback,趋势延续策略,all_med_ret_3d,全市场中位涨跌幅,3,5,-2.0026,0.1671,1,4,1,5,9.6382,10.0983,0.4601,1.1276,-0.8829,-2.0105,0.0,25.0,-25.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_med_ret_3d,全市场中位涨跌幅,3,10,-2.0026,0.1671,1,4,1,5,9.6382,18.7309,9.0927,-0.3334,7.3014,7.6348,0.0,25.0,-25.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_med_ret_3d,全市场中位涨跌幅,3,22,-2.0026,0.1671,1,4,1,5,9.6382,39.2144,29.5762,-0.451,8.2542,8.7052,0.0,75.0,-75.0,0,low_sample
ALL,全部来源,all_med_ret_5d,全市场中位涨跌幅,5,5,-2.6304,0.0,23,23,96,94,7.3032,9.9535,2.6503,-3.3117,2.8625,6.1742,57.2723,28.4576,28.8147,1,directional
ALL,全部来源,all_med_ret_5d,全市场中位涨跌幅,5,10,-2.6304,0.0,23,23,96,94,9.5772,14.5692,4.992,-5.3629,2.6925,8.0554,67.5983,41.2422,26.3561,1,directional
ALL,全部来源,all_med_ret_5d,全市场中位涨跌幅,5,22,-2.6304,0.0,23,23,96,94,16.0205,21.882,5.8615,0.1907,3.4643,3.2736,71.2215,64.6894,6.5321,1,directional
spark_opportunity_selector,星火机会模型,all_med_ret_5d,全市场中位涨跌幅,5,5,-2.6304,0.0,23,23,62,67,7.7158,10.286,2.5702,-3.3023,2.9784,6.2807,57.971,25.3623,32.6087,1,directional
spark_opportunity_selector,星火机会模型,all_med_ret_5d,全市场中位涨跌幅,5,10,-2.6304,0.0,23,23,62,67,9.8458,15.0211,5.1753,-5.604,3.4329,9.0369,71.0145,40.5797,30.4348,1,directional
spark_opportunity_selector,星火机会模型,all_med_ret_5d,全市场中位涨跌幅,5,22,-2.6304,0.0,23,23,62,67,16.6638,21.9956,5.3318,0.7181,3.9408,3.2227,74.6377,60.8696,13.7681,1,directional
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_5d,全市场中位涨跌幅,5,5,-2.6304,0.0,5,2,6,2,3.898,4.7849,0.8869,-4.2415,-5.1452,-0.9037,70.0,50.0,20.0,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_5d,全市场中位涨跌幅,5,10,-2.6304,0.0,5,2,6,2,6.6611,5.6116,-1.0495,-5.1442,-4.3907,0.7535,70.0,100.0,-30.0,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_5d,全市场中位涨跌幅,5,22,-2.6304,0.0,5,2,6,2,6.6611,17.716,11.0549,-9.6088,7.2492,16.858,70.0,100.0,-30.0,0,low_sample
stable_capital_callback,资金流回调稳健策略,all_med_ret_5d,全市场中位涨跌幅,5,5,-2.6304,0.0,9,11,27,18,5.4512,10.3226,4.8714,-2.1783,3.8266,6.0049,48.1481,30.303,17.8451,1,low_sample
