source_id,business_source_name,metric,metric_label,window,horizon,bucket,bucket_label,threshold_low,threshold_high,day_n,candidate_n,avg_candidates_per_day,avg_mfe_5d_pct,avg_close_5d_pct,hit10_rate,hit15_rate,close_loss5_rate,stop8_rate,pitfall_rate,full5_rate,avg_mfe_10d_pct,avg_close_10d_pct,full10_rate,avg_mfe_22d_pct,avg_close_22d_pct,full22_rate
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,10,low,低水位,26.005,49.0726,23,94,4.087,,,31.8116,21.5217,51.7391,66.558,68.5507,,9.4443,-5.1402,82.6087,,,
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,10,mid,中水位,26.005,49.0726,21,100,4.7619,,,48.6512,36.8664,38.7768,46.0627,49.7192,,13.6354,-0.0075,74.6032,,,
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,10,high,高水位,26.005,49.0726,23,94,4.087,,,52.0083,34.9068,30.766,38.1988,41.2422,,14.5692,2.6925,100.0,,,
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,22,low,低水位,26.005,49.0726,23,94,4.087,,,47.9348,37.971,47.7899,70.1812,70.7246,,,,,16.9283,1.1194,52.1739
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,22,mid,中水位,26.005,49.0726,21,100,4.7619,,,56.9907,43.4441,41.9811,53.8248,56.8463,,,,,18.2958,-0.3845,59.6372
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,22,high,高水位,26.005,49.0726,23,94,4.087,,,62.236,55.383,39.4306,64.0683,64.6894,,,,,21.882,3.4643,91.3043
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,5,low,低水位,26.005,49.0726,23,62,2.6957,7.4464,-3.5703,23.913,14.4928,43.4783,57.2464,59.4203,86.9565,,,,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,5,mid,中水位,26.005,49.0726,20,58,2.9,9.9397,0.1312,39.1667,20.8333,35.0,40.8333,44.1667,95.0,,,,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,5,high,高水位,26.005,49.0726,23,67,2.913,10.286,2.9784,40.5797,26.087,21.0145,21.0145,25.3623,100.0,,,,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,10,low,低水位,26.005,49.0726,23,62,2.6957,,,31.1594,20.2898,52.1739,71.0145,72.4638,,9.5733,-5.348,82.6087,,,
