variant_id,period,month,top1_days,top1_picks,top1_day1_no_red_rate,top1_day2_still_loss_rate,top1_deep_pain_rate,top1_day1_green_rate,top1_day1_positive_close_rate,top1_day1_avg_mfe_pct,top1_day1_median_mfe_pct,top1_day1_avg_close_return_pct,top1_day2_avg_close_return_pct,top1_day2_median_close_return_pct,top1_hit2_rate,top1_hit3_rate,top1_hit5_rate,top1_hit7_rate,top1_hit10_rate,top3_pick_days,top3_pick_picks,top3_pick_day1_no_red_rate,top3_pick_day2_still_loss_rate,top3_pick_deep_pain_rate,top3_pick_day1_green_rate,top3_pick_day1_positive_close_rate,top3_pick_day1_avg_mfe_pct,top3_pick_day1_median_mfe_pct,top3_pick_day1_avg_close_return_pct,top3_pick_day2_avg_close_return_pct,top3_pick_day2_median_close_return_pct,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_hit5_rate,top3_pick_hit7_rate,top3_pick_hit10_rate,top3_any_day1_green_rate,top3_any_hit3_rate,top3_any_hit5_rate,top3_any_day2_non_loss_rate,stable_month_score,offensive_month_score
lpn_012_lowpain_orderbook,internal_2025,2025-12,23,23,0.087,0.3913,0.087,0.913,0.7391,1.7594,0.9772,0.6649,0.6619,0.0,0.2174,0.087,0.087,0.087,0.0435,23,69,0.087,0.4058,0.0725,0.913,0.6957,1.1881,0.7605,0.2331,0.1225,0.0,0.1449,0.058,0.029,0.029,0.0145,1.0,0.1739,0.087,0.8261,54.7885,37.6136
lpn_012_lowpain_orderbook,final_2026,2026-01,20,20,0.2,0.4,0.15,0.8,0.5,0.8919,0.484,-0.058,-0.0651,0.5032,0.2,0.0,0.0,0.0,0.0,20,60,0.1,0.4,0.1167,0.9,0.55,1.2001,0.6529,0.0724,0.337,0.3001,0.1667,0.0667,0.05,0.0167,0.0,1.0,0.2,0.15,0.9,48.5333,30.0273
lpn_012_lowpain_orderbook,final_2026,2026-02,14,14,0.1429,0.3571,0.0,0.8571,0.6429,0.9894,0.92,0.3693,0.9047,1.0973,0.1429,0.0,0.0,0.0,0.0,14,42,0.0952,0.4286,0.0476,0.9048,0.6429,0.978,0.7767,0.2004,0.3373,0.0,0.119,0.0238,0.0,0.0,0.0,1.0,0.0714,0.0,0.8571,54.5178,34.295
lpn_012_lowpain_orderbook,final_2026,2026-03,22,22,0.0909,0.5,0.2727,0.9091,0.5455,1.1177,0.9589,-0.2325,-0.5757,-0.3039,0.1818,0.0455,0.0,0.0,0.0,22,66,0.0758,0.5303,0.2576,0.9242,0.4697,1.1021,0.8176,-0.2883,-0.3918,-0.5442,0.1667,0.0606,0.0,0.0,0.0,1.0,0.1818,0.0,0.6818,46.8734,29.6856
lpn_012_lowpain_orderbook,final_2026,2026-04,8,8,0.25,0.25,0.25,0.75,0.5,1.3951,0.8633,-0.1742,1.656,1.5647,0.25,0.125,0.0,0.0,0.0,8,24,0.25,0.5833,0.2083,0.75,0.4583,1.2157,0.722,-0.1937,0.45,-0.3317,0.2083,0.0833,0.0417,0.0,0.0,1.0,0.25,0.125,0.75,51.8855,34.4984
lpn_013_day2safe_full,internal_2025,2025-10,17,17,0.1176,0.5882,0.2353,0.8824,0.7059,1.7177,0.9302,0.1296,-0.1853,-0.4878,0.2941,0.2941,0.1176,0.0,0.0,17,51,0.0588,0.4706,0.1765,0.9412,0.6667,2.0332,1.1299,0.6758,0.617,0.3367,0.2745,0.2353,0.1176,0.0392,0.0196,1.0,0.4118,0.2941,0.8824,47.9055,34.2817
lpn_013_day2safe_full,internal_2025,2025-11,20,20,0.05,0.4,0.2,0.95,0.7,1.8776,1.1118,0.369,0.6259,0.0583,0.35,0.15,0.05,0.05,0.05,20,60,0.05,0.35,0.1167,0.95,0.7,1.9265,1.2308,0.7382,1.0193,0.3667,0.3333,0.2167,0.0667,0.0333,0.0167,1.0,0.45,0.2,0.9,54.0409,37.2308
lpn_013_day2safe_full,internal_2025,2025-12,23,23,0.1304,0.6522,0.087,0.8696,0.4783,0.6445,0.5051,-0.1976,-0.3118,-0.5208,0.0,0.0,0.0,0.0,0.0,23,69,0.1739,0.5217,0.0725,0.8261,0.5507,0.9607,0.5698,0.0696,0.1817,-0.1499,0.1014,0.0725,0.0145,0.0145,0.0,0.9565,0.1304,0.0435,0.7826,45.3199,28.0031
lpn_013_day2safe_full,final_2026,2026-01,20,20,0.05,0.4,0.05,0.95,0.75,1.9568,1.485,0.8155,0.8733,0.8911,0.3,0.1,0.1,0.05,0.0,20,60,0.0333,0.4667,0.1333,0.9667,0.7,2.0352,1.4234,0.5473,0.5846,0.2137,0.3167,0.1667,0.0833,0.05,0.0167,1.0,0.4,0.2,0.8,56.6428,39.0702
lpn_013_day2safe_full,final_2026,2026-02,14,14,0.0,0.4286,0.0,1.0,0.6429,1.4473,1.0832,0.6048,0.9571,0.6366,0.1429,0.0714,0.0714,0.0,0.0,14,42,0.0476,0.4286,0.0476,0.9524,0.6429,1.3177,0.9731,0.4382,0.3509,0.2119,0.1905,0.0476,0.0476,0.0,0.0,1.0,0.1429,0.1429,0.8571,57.4507,38.1813
