variant_id,period,trade_date,rank,symbol,name,final_score,model_score,entry_date,exit_date,entry_buyable,entry_gap_pct,entry_open,close_return_pct,max_runup_pct,max_drawdown_pct,hit_2pct,hit_3pct,loss_3pct,positive_close
blitz_005_raw_full,final_2026,2026-03-02,3,sz000968,sz000968,6.645839026905978,6.645839026905978,2026-03-03,2026-03-04,1,9.0909,10.32,7.7519,10.4651,-3.5853,1,1,1,1
blitz_005_raw_full,final_2026,2026-03-03,1,sz002350,sz002350,6.689809641118826,6.689809641118826,2026-03-04,2026-03-05,1,-8.2569,12.0,18.5833,21.8333,9.5,1,1,0,1
blitz_005_raw_full,final_2026,2026-03-03,2,sz002682,sz002682,6.509675508672009,6.509675508672009,2026-03-04,2026-03-05,1,-0.1304,7.66,-12.7937,-4.6997,-13.8381,0,0,1,0
blitz_005_raw_full,final_2026,2026-03-03,3,sz000968,sz000968,6.4488047537192035,6.4488047537192035,2026-03-04,2026-03-05,1,1.633,10.58,-4.4423,3.4972,-5.3875,1,1,1,0
blitz_005_raw_full,final_2026,2026-03-04,1,sz002490,sz002490,6.393271246802086,6.393271246802086,2026-03-05,2026-03-06,1,1.5358,11.9,10.9244,14.7059,4.6218,1,1,0,1
blitz_005_raw_full,final_2026,2026-03-04,2,sz002272,sz002272,6.364376979181428,6.364376979181428,2026-03-05,2026-03-06,1,6.2174,22.38,-7.1939,-5.0045,-8.6685,0,0,1,0
blitz_005_raw_full,final_2026,2026-03-04,3,sz000890,sz000890,6.362201781604155,6.362201781604155,2026-03-05,2026-03-06,1,5.186,9.33,-3.0011,-0.8574,-6.7524,0,0,1,0
blitz_005_raw_full,final_2026,2026-03-05,1,sz002877,sz002877,6.6232946240985315,6.6232946240985315,2026-03-06,2026-03-09,1,-1.0101,10.78,1.577,3.8961,-4.9165,1,1,1,1
blitz_005_raw_full,final_2026,2026-03-05,2,sz000509,sz000509,5.999090235210714,5.999090235210714,2026-03-06,2026-03-09,1,0.8264,3.66,5.7377,12.2951,4.6448,1,1,0,1
blitz_005_raw_full,final_2026,2026-03-05,3,sz002913,sz002913,5.958206219829562,5.958206219829562,2026-03-06,2026-03-09,1,1.139,48.84,8.8862,11.5479,4.8526,1,1,0,1
blitz_005_raw_full,final_2026,2026-03-06,1,sz000545,sz000545,7.24883810586937,7.24883810586937,2026-03-09,2026-03-10,1,0.0,3.75,-7.2,-4.2667,-8.0,0,0,1,0
blitz_005_raw_full,final_2026,2026-03-06,2,sz002648,sz002648,7.239985599436069,7.239985599436069,2026-03-09,2026-03-10,1,8.8443,29.29,-11.3349,-8.0915,-12.7347,0,0,1,0
blitz_005_raw_full,final_2026,2026-03-06,3,sh601789,sh601789,6.772901907607267,6.772901907607267,2026-03-09,2026-03-10,1,10.0182,6.04,9.9338,9.9338,9.9338,1,1,0,1
blitz_005_raw_full,final_2026,2026-03-09,1,sz000815,sz000815,9.129192883754508,9.129192883754508,2026-03-10,2026-03-11,1,5.9643,19.01,-6.7333,-2.4724,-7.8906,0,0,1,0
blitz_005_raw_full,final_2026,2026-03-09,2,sh600227,sh600227,8.701044205919976,8.701044205919976,2026-03-10,2026-03-11,1,-3.3149,3.5,15.7143,18.5714,5.4286,1,1,0,1
blitz_005_raw_full,final_2026,2026-03-09,3,sz000534,sz000534,8.42462353200303,8.42462353200303,2026-03-10,2026-03-11,1,4.0344,47.19,-1.6741,0.9112,-4.6408,0,0,1,0
blitz_005_raw_full,final_2026,2026-03-10,1,sz000815,sz000815,8.027085579458412,8.027085579458412,2026-03-11,2026-03-12,1,1.5642,18.18,3.6304,5.1155,-2.9153,1,1,0,1
