rule,count,win_rate,avg_return,median_return,max_return,min_return,score
pull_to_entry_support_spread_avg <= 0.01585,42,54.76,1.56,1.85,21.82,-14.24,6.542800000000001
pull_to_entry_oib_ratio <= 0.01585,42,54.76,1.56,1.85,21.82,-14.24,6.542800000000001
pullback_super_net_ratio >= 0.0085665,53,56.6,4.12,1.19,59.71,-18.38,6.542
launch_to_entry_oib_ratio >= -0.01504,54,51.85,2.66,1.85,59.71,-18.38,6.530000000000001
launch3_add_buy_ratio <= 1.40174,42,52.38,3.08,1.71,45.49,-11.9,6.516400000000001
confirm_distribution_score >= 29.11,54,53.7,1.8,1.85,45.49,-14.24,6.506000000000001
discover_to_entry_support_spread_avg <= 0.009235,41,60.98,2.05,1.19,45.49,-11.9,6.478400000000001
launch_to_entry_sell_pressure_avg <= 1.44364,66,51.52,2.51,1.85,59.71,-18.38,6.4736
discover_to_entry_max_daily_super_outflow_ratio <= -0.0581825,53,58.49,3.01,1.19,59.71,-18.38,6.471200000000001
discover_to_entry_super_price_divergence >= -0.0318955,53,58.49,2.99,1.19,59.71,-18.38,6.467200000000001
launch_to_entry_days >= 5,45,60.0,2.35,1.19,30.63,-18.38,6.46
pull_to_entry_super_net_ratio >= 0.0096,55,56.36,3.8,1.19,59.71,-18.38,6.4588
pull_to_entry_max_daily_super_outflow_ratio >= 0.0096,55,56.36,3.8,1.19,59.71,-18.38,6.4588
pull_to_entry_super_price_divergence >= 0.0096,55,56.36,3.8,1.19,59.71,-18.38,6.4588
pull_to_entry_add_buy_ratio <= 1.41574,42,52.38,2.09,1.85,45.49,-14.24,6.4584
discover_to_entry_main_price_divergence >= -0.029804,53,58.49,2.79,1.19,59.71,-14.24,6.427200000000001
setup_score >= 87.0435,53,56.6,3.54,1.19,59.71,-18.38,6.426
pull_to_entry_amount_sum <= 1.27574e+09,43,58.14,2.8,1.19,45.49,-11.09,6.4012
pull_to_entry_amount_avg <= 1.27574e+09,43,58.14,2.8,1.19,45.49,-11.09,6.4012
setup_score >= 89.08,41,56.1,3.57,1.19,59.71,-18.38,6.392000000000001
pullback_main_net_ratio <= 0.02833,42,54.76,1.36,1.71,45.49,-11.36,6.3628
pre5_super_price_divergence >= 0.063168,53,56.6,3.18,1.19,59.71,-16.72,6.354
discover_to_entry_amount_anomaly_avg <= 1.23642,65,56.92,2.95,1.19,59.71,-14.52,6.333600000000001
pre5_return_pct <= -6.742,65,55.38,3.55,1.19,59.71,-18.38,6.3304
pull_to_entry_amount_anomaly_avg <= 1.62836,65,56.92,2.93,1.19,45.49,-11.9,6.329600000000001
pull_to_entry_cvd_ratio >= -0.04597,55,58.18,2.37,1.19,30.9,-14.52,6.3184000000000005
hold_max_daily_main_outflow_ratio >= -0.13103,54,57.41,2.97,1.13,59.71,-14.24,6.3168
launch_to_entry_max_daily_super_outflow_ratio <= -0.019154,65,56.92,2.82,1.19,59.71,-18.38,6.307600000000001
launch_to_entry_return_pct <= 8.5,55,58.18,2.31,1.19,45.49,-14.24,6.3064
discover_to_entry_super_net_ratio <= 0.0257445,53,58.49,2.16,1.19,45.49,-11.36,6.3012000000000015
pullback_depth_from_launch_peak_pct <= -4.266,65,56.92,2.55,1.19,45.49,-18.38,6.2536000000000005
setup_score <= 96.376,65,56.92,2.47,1.19,59.71,-18.38,6.2376000000000005
pull_to_entry_positive_l2_bar_ratio_avg >= 0.551,54,55.56,3.52,1.08,59.71,-18.38,6.2288
pull_to_entry_positive_l2_bar_ratio_avg >= 0.47552,65,55.38,2.84,1.19,59.71,-18.38,6.1884
pre5_super_price_divergence >= 0.084755,41,53.66,3.46,1.19,59.71,-14.24,6.174799999999999
pre20_return_pct >= -17.785,41,58.54,2.1,1.07,59.71,-14.52,6.1732000000000005
launch_to_entry_cvd_ratio >= -0.042754,65,55.38,3.24,1.07,59.71,-14.52,6.1484000000000005
pre5_return_pct <= -8.8615,53,54.72,3.48,1.07,59.71,-18.38,6.1436
hold_max_daily_super_outflow_ratio >= -0.07443,42,52.38,3.87,1.13,59.71,-14.24,6.0944
